study_id,pub_year,Selection,Comparability,Outcome,Statistical Analysis,Attrition,Prognostic Measurement,rob_overall
Hsieh2022,2022,High,High,Moderate,Moderate,Low,High,critical
Ji2020,2020,Moderate,Moderate,Moderate,Moderate,Low,High,high
Nadeem2021,2021,High,Moderate,Moderate,Low,Low,Low,high
Alvarez2012,2012,Low,Low,Low,Low,Low,Low,low
Bae2021,2021,Low,Moderate,Low,Low,Low,Low,low
Chen2020,2020,Low,Moderate,Low,Low,Low,Low,low
Cilloniz2017,2017,Low,Moderate,Low,Low,Low,Low,low
Khatib2005,2005,Low,Low,Low,Low,Low,Low,low
Kim2010,2010,Low,Low,Low,Low,Low,Low,low
Lambregts2017,2017,Low,Moderate,Low,Low,Low,Low,low
Oldberg2021,2021,Low,Low,Low,Low,Low,Low,low
Palmer2013,2013,Low,Low,Low,Low,Low,Low,low
Paquette2021,2021,Low,Low,Moderate,Low,Low,Low,low
Peralta2007,2007,Low,Low,Low,Low,Low,Low,low
Simeon2019,2019,Low,Moderate,Low,Low,Low,Moderate,low
Blackberg2022,2022,Moderate,Moderate,Moderate,Low,Low,Moderate,moderate
Blackberg2023,2023,Moderate,Moderate,Moderate,Low,Moderate,Moderate,moderate
Chen2023,2023,Moderate,Low,Moderate,Low,Low,Moderate,moderate
Deguchi2024,2024,Moderate,Moderate,Low,Low,Moderate,Moderate,moderate
Edwards2025,2025,Low,Moderate,Low,Low,Low,Moderate,moderate
Hamilton2021,2021,Low,Moderate,Moderate,Low,Low,Moderate,moderate
Hou2023,2023,Moderate,Moderate,Moderate,Moderate,Low,Moderate,moderate
Hsu2014,2014,Moderate,Moderate,Low,Moderate,Moderate,Moderate,moderate
Ishikawa2025,2025,Moderate,Moderate,Moderate,Moderate,Low,Moderate,moderate
Krus2021,2021,Moderate,Moderate,Moderate,Low,Low,Moderate,moderate
Laupland2022,2022,Moderate,Moderate,Low,Moderate,Low,Low,moderate
Laupland2024,2024,Moderate,Moderate,Low,Moderate,Low,Low,moderate
Liao2009,2009,Low,Moderate,Moderate,Low,Low,Moderate,moderate
Ljungquist2025,2025,Moderate,Moderate,Moderate,Moderate,Low,Low,moderate
Maillart2012,2012,Moderate,Moderate,Low,Low,Moderate,Low,moderate
Marco2025,2025,Low,Moderate,Moderate,Moderate,Low,Low,moderate
Marra2006,2006,Moderate,Moderate,Moderate,Low,Low,Moderate,moderate
Martinez2006,2006,Moderate,Moderate,Low,Low,Low,Low,moderate
Michelson2021,2021,Moderate,Moderate,Low,Low,Low,Low,moderate
Minejima2019,2019,Moderate,Moderate,Low,Low,Low,Low,moderate
Ok2013,2013,Low,Moderate,Low,Low,Low,Low,moderate
PapadimitriouOlivgeris2023,2023,Moderate,Moderate,Low,Low,Low,Moderate,moderate
Rolo2022,2022,Moderate,Moderate,Low,Moderate,Moderate,Low,moderate
Savithri2011,2011,Moderate,Moderate,Moderate,Moderate,Low,Moderate,moderate
Takahashi2022,2022,Moderate,Low,Moderate,Low,Low,Moderate,moderate
Tsai2025,2025,Moderate,Moderate,Low,Low,Moderate,Low,moderate
Turkeltaub2024,2024,Moderate,Moderate,Moderate,Low,Low,High,moderate
Yang2024,2024,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,moderate
Zhang2020,2020,Moderate,Moderate,Moderate,Low,Low,Low,moderate
Zhang2021,2021,Moderate,Low,Low,Low,Low,Moderate,moderate
