Study,Selection,Comparability,Outcome,Statistical Analysis,Attrition,Prognostic Measurement,Overall
Hsieh2022 (2022),High,High,Moderate,Moderate,Low,High,Critical
Ji2020 (2020),Moderate,Moderate,Moderate,Moderate,Low,High,High
Nadeem2021 (2021),High,Moderate,Moderate,Low,Low,Low,High
Alvarez2012 (2012),Low,Low,Low,Low,Low,Low,Low
Bae2021 (2021),Low,Moderate,Low,Low,Low,Low,Low
Chen2020 (2020),Low,Moderate,Low,Low,Low,Low,Low
Cilloniz2017 (2017),Low,Moderate,Low,Low,Low,Low,Low
Khatib2005 (2005),Low,Low,Low,Low,Low,Low,Low
Kim2010 (2010),Low,Low,Low,Low,Low,Low,Low
Lambregts2017 (2017),Low,Moderate,Low,Low,Low,Low,Low
Oldberg2021 (2021),Low,Low,Low,Low,Low,Low,Low
Palmer2013 (2013),Low,Low,Low,Low,Low,Low,Low
Paquette2021 (2021),Low,Low,Moderate,Low,Low,Low,Low
Peralta2007 (2007),Low,Low,Low,Low,Low,Low,Low
Simeon2019 (2019),Low,Moderate,Low,Low,Low,Moderate,Low
Blackberg2022 (2022),Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate
Blackberg2023 (2023),Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate
Chen2023 (2023),Moderate,Low,Moderate,Low,Low,Moderate,Moderate
Deguchi2024 (2024),Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate
Edwards2025 (2025),Low,Moderate,Low,Low,Low,Moderate,Moderate
Hamilton2021 (2021),Low,Moderate,Moderate,Low,Low,Moderate,Moderate
Hou2023 (2023),Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
Hsu2014 (2014),Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate
Ishikawa2025 (2025),Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
Krus2021 (2021),Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate
Laupland2022 (2022),Moderate,Moderate,Low,Moderate,Low,Low,Moderate
Laupland2024 (2024),Moderate,Moderate,Low,Moderate,Low,Low,Moderate
Liao2009 (2009),Low,Moderate,Moderate,Low,Low,Moderate,Moderate
Ljungquist2025 (2025),Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate
Maillart2012 (2012),Moderate,Moderate,Low,Low,Moderate,Low,Moderate
Marco2025 (2025),Low,Moderate,Moderate,Moderate,Low,Low,Moderate
Marra2006 (2006),Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate
Martinez2006 (2006),Moderate,Moderate,Low,Low,Low,Low,Moderate
Michelson2021 (2021),Moderate,Moderate,Low,Low,Low,Low,Moderate
Minejima2019 (2019),Moderate,Moderate,Low,Low,Low,Low,Moderate
Ok2013 (2013),Low,Moderate,Low,Low,Low,Low,Moderate
PapadimitriouOlivgeris2023 (2023),Moderate,Moderate,Low,Low,Low,Moderate,Moderate
Rolo2022 (2022),Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate
Savithri2011 (2011),Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
Takahashi2022 (2022),Moderate,Low,Moderate,Low,Low,Moderate,Moderate
Tsai2025 (2025),Moderate,Moderate,Low,Low,Moderate,Low,Moderate
Turkeltaub2024 (2024),Moderate,Moderate,Moderate,Low,Low,High,Moderate
Yang2024 (2024),Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Zhang2020 (2020),Moderate,Moderate,Moderate,Low,Low,Low,Moderate
Zhang2021 (2021),Moderate,Low,Low,Low,Low,Moderate,Moderate
